Title,Genre,Tags,withDLC,isMature,Franchise,ReleaseDate,Developer,Publisher,Languages,PositiveReviews,TotalReviews,NegativeReviews,OriginalPrice,DiscountPercent
Tom Clancy's Rainbow Six® Siege,Action,"FPS, PvP, eSports, Multiplayer, Tactical, Shooter, Competitive, Online Co-Op, Action, Hero Shooter, Team-Based, Military, War, Strategy, Realistic, First-Person, Destruction, Co-op, Difficult, 3D",True,False,Rainbow 6 Franchise,"1 Dec, 2015",Ubisoft Montreal,Ubisoft,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Simplified Chinese, Turkish, Thai","(1,037,821)","(1,209,309)","(171,488)","330.000,00₫",-60%
DAVE THE DIVER,"Adventure, Casual, Indie, RPG, Simulation","Pixel Graphics, Casual, Adventure, RPG, Management, Relaxing, Simulation, Fishing, Exploration, Underwater, Farming Sim, Singleplayer, Crafting, 2D, Story Rich, Roguelite, Funny, Agriculture, Early Access, Action",True,False,,"28 Jun, 2023",MINTROCKET,MINTROCKET,"English, Korean, Japanese, Simplified Chinese, German, Spanish - Spain, Traditional Chinese, French, Portuguese - Brazil","(79,684)","(81,668)","(1,984)","260.000,00₫",-20%
Sekiro™: Shadows Die Twice - GOTY Edition,"Action, Adventure","Souls-like, Difficult, Action, Singleplayer, Ninja, Stealth, Adventure, Third Person, Open World, Story Rich, Violent, Atmospheric, Assassin, Dark Fantasy, Hack and Slash, RPG, Great Soundtrack, Gore, Dark, Rhythm",False,True,,"21 Mar, 2019",FromSoftware,Activision (Excluding Japan and Asia),"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Russian, Simplified Chinese, Thai, Traditional Chinese, Portuguese - Brazil","(247,443)","(259,541)","(12,098)","1.290.000,00₫",-50%
God of War,"Action, Adventure, RPG","Action, Singleplayer, Story Rich, Adventure, Mythology, Third Person, Combat, RPG, Violent, Hack and Slash, Fantasy, Exploration, Open World, Atmospheric, Gore, Emotional, Action RPG, Souls-like, 3D, PvE",False,True,PlayStation Studios,"14 Jan, 2022",Santa Monica Studio,PlayStation PC LLC,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Spanish - Latin America, Turkish, Traditional Chinese, Czech, Hungarian, Greek","(112,681)","(116,392)","(3,711)","1.159.000,00₫",-50%
Rust,"Action, Adventure, Indie, Massively Multiplayer, RPG","Survival, Crafting, Multiplayer, Open World, Open World Survival Craft, Building, PvP, Sandbox, Adventure, First-Person, Action, Nudity, FPS, Shooter, Co-op, Online Co-Op, Indie, Early Access, Post-apocalyptic, Simulation",True,True,,"8 Feb, 2018",Facepunch Studios,Facepunch Studios,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Ukrainian, Polish, Portuguese - Portugal, Turkish, Arabic, Czech, Danish, Dutch, Finnish, Greek, Norwegian, Portuguese - Brazil, Spanish - Latin America, Swedish, Traditional Chinese, Vietnamese","(874,735)","(1,004,538)","(129,803)","510.000,00₫",-33%
Dead by Daylight,Action,"Horror, Survival Horror, Multiplayer, Online Co-Op, Co-op, Survival, Gore, Team-Based, Stealth, Blood, Third Person, Violent, First-Person, Psychological Horror, Action, Atmospheric, Strategy, Comedy, Mature, Difficult",True,True,Dead by Daylight,"14 Jun, 2016",Behaviour Interactive Inc.,Behaviour Interactive Inc.,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese, Portuguese - Brazil, Thai, Traditional Chinese, Japanese, Korean, Polish, Spanish - Latin America, Turkish","(565,223)","(703,376)","(138,153)","230.000,00₫",-65%
NARAKA: BLADEPOINT,"Action, Adventure, Massively Multiplayer","Battle Royale, Multiplayer, Martial Arts, PvP, Action, Female Protagonist, Massively Multiplayer, Third Person, Survival, Character Customization, Fighting, Hack and Slash, Swordplay, Parkour, Anime, Adventure, Mature, Violent, Free to Play, Gore",True,True,,"11 Aug, 2021",24 Entertainment,NetEase Games Global,"English, Simplified Chinese, Traditional Chinese, Japanese, Korean, French, German, Spanish - Spain, Russian, Turkish, Portuguese - Portugal, Vietnamese, Thai","(158,435)","(232,961)","(74,526)",Free,
Lies of P,"Action, Adventure, RPG","Souls-like, Action, Dark Fantasy, Exploration, Action RPG, Third Person, 3D, Dark, Adventure, Singleplayer, Story Rich, Steampunk, Atmospheric, RPG, Choices Matter, Multiple Endings, Violent, Gothic, Replay Value, Open World",True,True,NEOWIZ,"18 Sep, 2023",NEOWIZ,NEOWIZ,"English, French, German, Spanish - Spain, Russian, Japanese, Simplified Chinese, Traditional Chinese, Portuguese - Brazil, Polish, Korean, Italian","(22,866)","(24,693)","(1,827)","1.050.000,00₫",-20%
Party Animals,"Action, Casual, Indie","Casual, Funny, Multiplayer, Cute, Party Game, Action, Fighting, PvP, Co-op, Party, Family Friendly, Online Co-Op, Physics, 3D Fighter, Local Multiplayer, 4 Player Local, Indie, Team-Based, Local Co-Op, Action-Adventure",True,False,,"20 Sep, 2023",Recreate Games,Source Technology,"English, Simplified Chinese, Traditional Chinese, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Thai","(26,041)","(35,643)","(9,602)","310.000,00₫",-30%
Sons Of The Forest,"Action, Adventure, Indie, Simulation, Early Access","Survival, Open World, Multiplayer, Survival Horror, Co-op, Base Building, Crafting, Horror, First-Person, Exploration, Adventure, Building, Singleplayer, Atmospheric, Action-Adventure, Sandbox, Action, Simulation, Early Access, Immersive Sim",False,True,,"23 Feb, 2023",Endnight Games Ltd,Newnight ,"English, French, Italian, German, Spanish - Spain, Czech, Finnish, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Traditional Chinese, Turkish","(145,498)","(170,299)","(24,801)","385.000,00₫",-20%
Persona 5 Royal,RPG,"JRPG, Story Rich, Anime, Great Soundtrack, Turn-Based Combat, RPG, Party-Based RPG, Singleplayer, Dating Sim, Turn-Based Strategy, Multiple Endings, Emotional, Visual Novel, Colorful, Sexual Content, Adventure, Heist, Soundtrack, Detective, Violent",False,True,Persona,"20 Oct, 2022",ATLUS,SEGA,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese","(48,573)","(49,958)","(1,385)","1.380.000,00₫",-50%
"Warhammer 40,000: Rogue Trader","Adventure, Indie, RPG, Strategy","Isometric, Exploration, Combat, Space, Tactical RPG, Choose Your Own Adventure, Action RPG, Collectathon, Open World, Multiple Endings, Controller, Futuristic, Colorful, Tactical, Female Protagonist, Warhammer 40K, RPG, CRPG, Choices Matter, Character Customization",True,True,Warhammer,"7 Dec, 2023",Owlcat Games,Owlcat Games ,"English, French, German, Spanish - Spain, Russian, Simplified Chinese, Japanese","(6,305)","(8,263)","(1,958)","585.000,00₫",
Project Zomboid,"Indie, RPG, Simulation, Early Access","Survival, Zombies, Open World, Open World Survival Craft, Multiplayer, Sandbox, Post-apocalyptic, Co-op, Crafting, Indie, Building, Simulation, RPG, Survival Horror, Realistic, Isometric, Singleplayer, 2D, Adventure, Early Access",False,False,,"8 Nov, 2013",The Indie Stone,The Indie Stone,"English, French, Italian, German, Spanish - Spain, Danish, Dutch, Hungarian, Norwegian, Polish, Portuguese - Portugal, Russian, Turkish, Japanese, Simplified Chinese, Portuguese - Brazil, Finnish, Korean, Thai, Traditional Chinese, Ukrainian","(244,319)","(259,711)","(15,392)","260.000,00₫",-33%
Diablo® IV,"Action, RPG","Action RPG, Hack and Slash, Isometric, Singleplayer, Online Co-Op, Co-op, RPG, Action, Third Person, Fantasy, Multiplayer, PvE, Story Rich, Dungeon Crawler, Loot, Dark Fantasy, Point & Click, Gore, Exploration, Violent",True,True,Diablo,"17 Oct, 2023","Blizzard Entertainment, Inc."," Blizzard Entertainment, Inc.","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, Traditional Chinese, Simplified Chinese, Turkish","(10,447)","(17,585)","(7,138)","1.680.000,00₫",-40%
Stellaris,"Simulation, Strategy","Space, Grand Strategy, Strategy, Sci-fi, 4X, Exploration, Sandbox, Simulation, Multiplayer, Singleplayer, Real-Time with Pause, Moddable, Diplomacy, Management, Futuristic, Military, Replay Value, Great Soundtrack, Atmospheric, Procedural Generation",True,False,Stellaris,"9 May, 2016",Paradox Development Studio,Paradox Interactive,"English, French, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Japanese, Korean","(140,269)","(158,417)","(18,148)","400.000,00₫",-70%
House Flipper 2,"Casual, Indie, Simulation","Simulation, Design & Illustration, Building, Casual, Relaxing, Destruction, Sandbox, Family Friendly, Education, Immersive Sim, 3D, First-Person, Indie, Management, Singleplayer, Base Building, Colorful, Replay Value, Economy, Realistic",True,False,House Flipper,"14 Dec, 2023",Frozen District,Frozen District,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Ukrainian","(2,562)","(3,181)",619,"438.500,00₫",-10%
STAR WARS Jedi: Survivor™,"Action, Adventure","Action, Adventure, Souls-like, Singleplayer, Third Person, Sci-fi, Action-Adventure, Open World, Space, Story Rich, Swordplay, Parkour, Exploration, Combat, Character Customization, RPG, Atmospheric, Great Soundtrack, Difficult, Multiplayer",True,False,Star Wars,"27 Apr, 2023",Respawn,Electronic Arts,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Traditional Chinese","(27,421)","(41,859)","(14,438)","1.090.000,00₫",-50%
Granblue Fantasy Versus: Rising,Action,"Action, 2D Fighter, Multiplayer, Singleplayer, Action RPG, eSports, Anime, Fighting, Fantasy, Free to Play, Great Soundtrack",True,False,Granblue Fantasy Versus,"13 Dec, 2023","Cygames, Inc.","Cygames, Inc.","English, Japanese, French, German, Spanish - Spain, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Korean","(1,272)","(1,551)",279,"1.213.000,00₫",
Cities: Skylines II,Simulation,"Simulation, City Builder, Building, Singleplayer, Sandbox, Management, Economy, Strategy, Realistic, Multiplayer, Moddable, Relaxing, Casual, Resource Management, Atmospheric, Open World, Early Access, Great Soundtrack, Transportation, Psychological Horror",False,False,Cities: Skylines,"24 Oct, 2023",Colossal Order Ltd.,Paradox Interactive,"English, French, Italian, German, Japanese, Korean, Polish, Russian, Simplified Chinese, Portuguese - Brazil, Traditional Chinese, Spanish - Spain","(25,339)","(41,694)","(16,355)","830.000,00₫",-10%
Anno 1800,"Simulation, Strategy","City Builder, Strategy, Simulation, Economy, Multiplayer, Resource Management, Sandbox, RTS, Exploration, Singleplayer, Political, Historical, Co-op, Choose Your Own Adventure, Management, Politics, Story Rich, Building, Choices Matter, Multiple Endings",True,False,Anno Franchise,Apr 2019,Ubisoft Mainz,Ubisoft,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Russian, Simplified Chinese, Traditional Chinese","(11,065)","(13,681)","(2,616)","990.000,00₫",-75%
,,,,,,,,,,,,,"733.000,00₫",-63%
Battlefield™ V,Action,"FPS, Multiplayer, World War II, Singleplayer, Shooter, War, Military, First-Person, PvP, Combat, Massively Multiplayer, Open World, Action, Historical, Destruction, Battle Royale, Atmospheric, Sexual Content, Violent, Female Protagonist",True,True,Battlefield,"9 Nov, 2018",DICE,Electronic Arts,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese","(129,342)","(183,100)","(53,758)","890.000,00₫",-92%
ARK: Survival Ascended,"Action, Adventure, Indie, Massively Multiplayer, RPG, Early Access","Early Access, Survival, Open World, Dinosaurs, Adventure, Action, Building, Multiplayer, Crafting, Base Building, Sandbox, Character Customization, PvP, Inventory Management, PvE, Massively Multiplayer, Singleplayer, RPG, Sci-fi, Fantasy",False,False,Snail Games USA,"25 Oct, 2023",Studio Wildcard,Studio Wildcard,"English, French, Italian, German, Spanish - Spain, Danish, Dutch, Japanese, Korean, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish","(22,715)","(38,276)","(15,561)","1.100.000,00₫",-10%
Hearts of Iron IV,"Simulation, Strategy","Strategy, World War II, Grand Strategy, War, Historical, Military, Alternate History, Multiplayer, Simulation, Tactical, Real-Time with Pause, Singleplayer, RTS, Diplomacy, Sandbox, Co-op, Competitive, Strategy RPG, Action, Open World",True,False,Hearts of Iron,"6 Jun, 2016",Paradox Development Studio,Paradox Interactive,"English, French, German, Polish, Portuguese - Brazil, Russian, Spanish - Spain, Japanese, Simplified Chinese","(240,813)","(262,087)","(21,274)","400.000,00₫",-70%
Football Manager 2024,"Simulation, Sports, Strategy","Simulation, Sports, Strategy, Football (Soccer), Management, eSports, Real Time Tactics, 3D, 2D, Economy, Text-Based, Multiplayer, Singleplayer",True,False,,"6 Nov, 2023",Sports Interactive,SEGA,"English, French, Italian, German, Spanish - Spain, Danish, Dutch, Greek, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Swedish, Turkish","(5,829)","(6,615)",786,"990.000,00₫",-10%
Sid Meier’s Civilization® VI,Strategy,"Strategy, Turn-Based Strategy, Multiplayer, Historical, Singleplayer, Grand Strategy, Turn-Based, 4X, War, Simulation, City Builder, Tactical, Building, Management, Great Soundtrack, Moddable, Online Co-Op, Co-op, Hex Grid, Atmospheric",True,False,Sid Meier's Civilization,"20 Oct, 2016",Firaxis Games,2K,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","(251,573)","(293,247)","(41,674)","705.000,00₫",-90%
Street Fighter™ 6,"Action, Adventure","2D Fighter, Fighting, Action, Character Customization, Arcade, Adventure, Multiplayer, Competitive, PvP, Open World, eSports, Singleplayer, Action RPG, Local Multiplayer, Controller, 3D, Sandbox, Great Soundtrack, 3D Fighter, Martial Arts",True,False,,"1 Jun, 2023","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","English, Japanese, French, Italian, German, Spanish - Spain, Arabic, Portuguese - Brazil, Polish, Russian, Simplified Chinese, Traditional Chinese, Korean, Spanish - Latin America","(28,211)","(32,017)","(3,806)","1.322.000,00₫",-34%
DayZ,"Action, Adventure, Massively Multiplayer","Survival, Zombies, Multiplayer, Open World, Action, PvP, Shooter, Massively Multiplayer, Horror, Post-apocalyptic, Simulation, FPS, Early Access, First-Person, Survival Horror, Sandbox, Adventure, Co-op, Atmospheric, Indie",True,True,,"13 Dec, 2018",Bohemia Interactive,Bohemia Interactive,"English, French, Italian, German, Spanish - Spain, Czech, Russian, Simplified Chinese, Traditional Chinese, Japanese, Polish, Portuguese - Brazil","(277,735)","(371,401)","(93,666)","1.000.000,00₫",-50%
Age of Empires IV: Anniversary Edition,Strategy,"Strategy, RTS, War, Multiplayer, Singleplayer, Base Building, Medieval, Resource Management, Historical, City Builder, Action RTS, PvP, PvE, Co-op, 3D, Isometric, Management, Open World, Online Co-Op, Mature",True,False,Age of Empires,"28 Oct, 2021",Relic Entertainment,Xbox Game Studios,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Vietnamese, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Norwegian, Polish, Portuguese - Portugal, Swedish, Hindi","(53,142)","(61,266)","(8,124)","480.000,00₫",-50%
The Elder Scrolls V: Skyrim Special Edition,RPG,"Open World, RPG, Adventure, Singleplayer, Fantasy, Character Customization, Moddable, Dragons, Story Rich, Magic, First-Person, Action, Atmospheric, Great Soundtrack, Third Person, Stealth, Classic, Remake, Female Protagonist, Walking Simulator",True,True,The Elder Scrolls,"27 Oct, 2016",Bethesda Game Studios,Bethesda Softworks,"English, French, Italian, German, Spanish - Spain, Polish, Traditional Chinese, Russian, Japanese","(256,071)","(280,290)","(24,219)","499.000,00₫",-80%
Total War: WARHAMMER III,"Action, Strategy","Early Access, Strategy, Turn-Based Strategy, Grand Strategy, RTS, Fantasy, Real Time Tactics, Dark Fantasy, War, Action, Tactical, Atmospheric, Games Workshop, Multiplayer, Colorful, PvP, Co-op, Story Rich, Singleplayer, Online Co-Op",True,True,Total War,"16 Feb, 2022",CREATIVE ASSEMBLY,SEGA,"English, French, Italian, German, Spanish - Spain, Czech, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish","(55,588)","(92,973)","(37,385)","1.061.500,00₫",-50%
Microsoft Flight Simulator 40th Anniversary Edition,Simulation,"Simulation, Flight, Realistic, Multiplayer, Open World, VR, Singleplayer, Atmospheric, Real-Time, Physics, Adventure, Colorful, Family Friendly, Beautiful, TrackIR, Surreal, Controller, Epic, Short, Psychological Horror",False,False,,"17 Aug, 2020",Asobo Studio,Xbox Game Studios,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Dutch, Finnish, Japanese, Norwegian, Swedish","(41,696)","(53,226)","(11,530)","1.340.000,00₫",-40%
BeamNG.drive,"Racing, Simulation, Early Access","Simulation, Driving, Physics, Realistic, Destruction, Automobile Sim, Open World, Sandbox, Racing, Moddable, Singleplayer, Multiplayer, Early Access, First-Person, Third Person, Exploration, Funny, Action, Adventure, Flight",False,False,,"29 May, 2015",BeamNG,BeamNG,"English, French, Japanese, Korean, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Spanish - Spain, German, Polish","(211,156)","(217,186)","(6,030)","220.000,00₫",-20%
Raft,"Adventure, Indie, Simulation","Survival, Open World Survival Craft, Multiplayer, Co-op, Crafting, Open World, Building, Base Building, Online Co-Op, Adventure, Sandbox, First-Person, Singleplayer, Early Access, Underwater, Simulation, Action, Indie, Strategy, Massively Multiplayer",False,False,,"20 Jun, 2022",Redbeet Interactive,Axolot Games,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Swedish","(275,996)","(294,733)","(18,737)","188.000,00₫",-33%
RimWorld,"Indie, Simulation, Strategy","Colony Sim, Base Building, Survival, Strategy, Sandbox, Management, Building, Simulation, Singleplayer, Moddable, City Builder, Open World, Procedural Generation, 2D, Sci-fi, Indie, Space, Tactical RPG, Western, Cartoony",True,False,,"17 Oct, 2018",Ludeon Studios,Ludeon Studios,"English, French, German, Polish, Russian, Italian, Spanish - Spain, Czech, Danish, Dutch, Hungarian, Japanese, Norwegian, Portuguese - Portugal, Portuguese - Brazil, Simplified Chinese, Swedish, Traditional Chinese, Turkish, Ukrainian, Finnish, Korean, Romanian, Spanish - Latin America","(171,845)","(175,161)","(3,316)","350.000,00₫",-20%
World of Warships,"Action, Massively Multiplayer, Simulation, Free to Play","Naval Combat, Free to Play, Naval, World War II, Massively Multiplayer, Action, Multiplayer, Tactical, PvP, Historical, Military, Online Co-Op, Team-Based, Realistic, Shooter, Simulation, PvE, Third-Person Shooter, War, Co-op",True,False,,"15 Nov, 2017",Wargaming Group Limited,Wargaming Group Limited,"English, French, German, Czech, Japanese, Polish, Russian, Thai, Turkish, Spanish - Spain, Korean, Portuguese - Brazil, Traditional Chinese, Italian, Simplified Chinese, Ukrainian, Dutch, Spanish - Latin America","(102,673)","(133,236)","(30,563)",Free,
Crusader Kings III,"RPG, Simulation, Strategy","Strategy, Simulation, Medieval, Grand Strategy, RPG, Historical, Management, Character Customization, RTS, Life Sim, Sandbox, Choices Matter, War, 4X, Singleplayer, Economy, Moddable, Political, Multiplayer, Real-Time with Pause",True,True,Crusader Kings,"1 Sep, 2020",Paradox Development Studio,Paradox Interactive,"English, French, German, Spanish - Spain, Russian, Simplified Chinese, Korean","(92,241)","(100,264)","(8,023)","500.000,00₫",-50%
FINAL FANTASY VII REMAKE INTERGRADE,"Action, Adventure, RPG","RPG, Action RPG, JRPG, Action-Adventure, Singleplayer, Party-Based RPG, Spectacle fighter, Third Person, Controller, Action, Adventure, 3D, Fantasy, 3D Platformer, Magic, Realistic, Cinematic, Drama, Story Rich, Sci-fi",False,False,FINAL FANTASY,"17 Jun, 2022",Square Enix,Square Enix,"English, French, Italian, German, Spanish - Spain, Spanish - Latin America, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Japanese, Korean","(17,406)","(19,452)","(2,046)","1.799.000,00₫",-50%
RoboCop: Rogue City,"Action, Adventure","FPS, Action, First-Person, Singleplayer, Shooter, Story Rich, Adventure, Atmospheric, Gore, Sci-fi, Soundtrack, Cyberpunk, Violent, RPG, Action RPG, Dystopian, Robots, Crime, Futuristic, Mature",True,True,Nacon,"2 Nov, 2023",Teyon,Nacon,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Simplified Chinese","(6,978)","(7,423)",445,"670.000,00₫",-30%
The Witcher® 3: Wild Hunt,RPG,"Open World, RPG, Story Rich, Atmospheric, Mature, Fantasy, Adventure, Singleplayer, Nudity, Choices Matter, Great Soundtrack, Third Person, Medieval, Action, Multiple Endings, Action RPG, Magic, Dark Fantasy, Dark, Sandbox",True,True,THE WITCHER®,"18 May, 2015",CD PROJEKT RED,CD PROJEKT RED,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Turkish, Simplified Chinese","(726,473)","(756,300)","(29,827)","660.000,00₫",-75%
Mount & Blade II: Bannerlord,"Action, Indie, RPG, Simulation, Strategy","Medieval, Strategy, Open World, RPG, War, Sandbox, Multiplayer, Singleplayer, Action, Character Customization, Simulation, Moddable, Adventure, Horses, Realistic, Third Person, First-Person, Historical, Great Soundtrack, Early Access",True,True,Mount & Blade,"25 Oct, 2022",TaleWorlds Entertainment,TaleWorlds Entertainment,"English, Simplified Chinese, Turkish, Traditional Chinese, French, Italian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, German","(205,648)","(233,866)","(28,218)","800.000,00₫",-40%
